[ -0.9 -11.4  -2.5] [ -1.3 -10.7   4.5] [-11.9   4.    6.3],[ 0.1 -0.3 -0. ] [ 0.  -0.2  0.1] [-0.1 -0.1  0.1]
[ -0.8 -11.3  -2.3] [ -0.8 -10.7   5.2] [-13.    3.6   6.7],[0.1 0.1 0. ] [-0.   0.1  0. ] [ 0.  -0.1 -0. ]
[ -0.7 -12.   -2.6] [ -1.2 -11.1   4.7] [-12.1   3.8   6.6],[-0.1 -0.1  0.1] [-0.  -0.1 -0. ] [0.1 0.1 0.1]
[ -1.  -10.8  -2.3] [ -0.9 -10.3   5.1] [-13.1   3.7   6.3],[-0.2  0.1 -0.1] [-0.1  0.  -0. ] [ 0.3  0.  -0.1]
[ -0.9 -10.8  -2.5] [ -1.1 -10.3   4.7] [-12.6   3.5   6.5],[ 0.  -0.1 -0. ] [ 0.  -0.1  0. ] [ 0. -0. -0.]
[ -0.9 -10.8  -2.5] [ -0.8 -10.4   5.1] [-12.9   3.5   6.5],[-0.   0.2  0.1] [-0.   0.2 -0.1] [-0.2  0.2 -0.2]
[ -1.2 -11.7  -2.3] [ -0.7 -10.8   4.7] [-13.5   4.    7.2],[0.  0.2 0.1] [-0.   0.2 -0. ] [-0.1 -0.1  0. ]
[ -1.  -10.8  -2.4] [ -1.2 -10.2   4.5] [-12.8   3.9   6.2],[-0.1 -0.1  0. ] [ 0. -0. -0.] [-0.2  0.2 -0.1]
[ -0.7 -11.8  -2.6] [ -1.2 -11.    4.6] [-12.1   3.8   6.5],[ 0.1 -0.3 -0. ] [ 0.1 -0.2  0.1] [-0.1 -0.1  0.2]
[ -1.  -10.8  -2.3] [ -0.9 -10.3   5.1] [-13.1   3.7   6.3],[-0.2  0.1 -0.1] [-0.1  0.  -0. ] [ 0.3  0.  -0.1]
[ -0.8 -10.8  -2.6] [ -1.2 -10.3   4.6] [-12.5   3.6   6.4],[-0.   0.1  0. ] [-0.   0.2 -0.1] [-0.1  0.2 -0.2]
[ -1.  -10.8  -2.3] [ -0.9 -10.3   5.1] [-13.1   3.7   6.3],[-0.2  0.1 -0.1] [-0.1  0.  -0. ] [ 0.3  0.  -0.1]
[ -0.7 -12.   -2.6] [ -1.2 -11.1   4.7] [-12.1   3.8   6.6],[-0.1 -0.1  0.1] [-0.  -0.1 -0. ] [0.1 0.1 0.1]
[ -1.2 -10.5  -2.3] [ -1.  -10.2   4.8] [-12.5   3.7   6.3],[ 0.1 -0.1 -0.1] [ 0.1 -0.1  0. ] [ 0.  -0.2  0.1]
[ -1.  -10.8  -2.3] [ -0.9 -10.3   5.1] [-13.1   3.7   6.3],[-0.2  0.1 -0.1] [-0.1  0.  -0. ] [ 0.3  0.  -0.1]
[ -0.9 -10.8  -2.5] [ -1.1 -10.3   4.7] [-12.6   3.5   6.5],[ 0.  -0.1 -0. ] [ 0.  -0.1  0. ] [ 0. -0. -0.]
[ -0.7 -12.   -2.6] [ -1.2 -11.1   4.7] [-12.1   3.8   6.6],[-0.1 -0.1  0.1] [-0.  -0.1 -0. ] [0.1 0.1 0.1]
[ -0.9 -11.4  -2.5] [ -1.3 -10.7   4.5] [-11.9   4.    6.3],[ 0.1 -0.3 -0. ] [ 0.  -0.2  0.1] [-0.1 -0.1  0.1]
[ -1.3 -10.8  -2.1] [ -1.  -10.4   4.9] [-13.    4.    6.2],[ 0.   0.1 -0. ] [-0.1  0.2 -0.2] [-0.  0.  0.]
[ -1.  -12.1  -2.5] [ -1.2 -11.2   4.5] [-12.    4.    6.7],[ 0.  -0.  -0.1] [ 0.1 -0.1  0. ] [-0.1 -0.1  0.1]
[ -1.  -11.7  -2.7] [ -0.9 -11.    4.5] [-12.3   3.7   6.7],[ 0.1  0.1 -0. ] [ 0.   0.1 -0. ] [-0.1  0.  -0.1]
[ -1.  -11.8  -2.7] [ -0.9 -11.1   4.5] [-12.2   3.7   6.8],[ 0.   0.2 -0. ] [ 0.   0.1 -0. ] [-0.1  0.  -0. ]
[ -0.8 -11.4  -2.7] [ -0.9 -10.7   4.4] [-12.6   3.9   6.6],[-0.   0.1  0.1] [-0.1  0.2 -0.1] [ 0.   0.1 -0.1]
[ -1.  -10.8  -2.3] [ -0.9 -10.3   5.1] [-13.1   3.7   6.3],[-0.2  0.1 -0.1] [-0.1  0.  -0. ] [ 0.3  0.  -0.1]
[ -0.8 -11.3  -2.3] [ -0.8 -10.7   5.3] [-13.    3.5   6.7],[ 0.  -0.   0.1] [0. 0. 0.] [ 0.  -0.1 -0. ]
[ -1.  -12.   -2.4] [ -1.3 -11.1   4.5] [-11.8   4.1   6.6],[-0. -0.  0.] [ 0. -0. -0.] [-0.  0.  0.]
[ -0.9 -12.1  -2.5] [ -1.1 -11.3   4.6] [-12.1   3.9   6.8],[ 0.   0.  -0.1] [ 0.1 -0.   0. ] [-0.1 -0.1  0.1]
